Datum,Typ,Zone,Standort,Kurzbezeichnung,Parameter,Parametergruppe,Einheit,Bestimmungsgrenze_Nachweisgrenze,Messwert,Höchstwert
2023-04-24,Verteilnetz,Glattzone,Grosswiesenstr./Luchswiesenstr.,B1172,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,59428,
2023-04-24,Verteilnetz,Limmatzone,Schacht Sonneggstr./Unterf. Haldenbach,NSTL/SONN,Temperatur,Allgemeine Parameter,°C,,8.3,
2023-04-24,Verteilnetz,Limmatzone,Schacht Sonneggstr./Unterf. Haldenbach,NSTL/SONN,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.9,
2023-04-24,Verteilnetz,Limmatzone,Schacht Sonneggstr./Unterf. Haldenbach,NSTL/SONN,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,77539,
2023-05-08,Verteilnetz,Limmatzone,Pelikanplatz,B0018,Temperatur,Allgemeine Parameter,°C,,9.9,
2023-05-08,Verteilnetz,Limmatzone,Pelikanplatz,B0018,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,7,300
2023-05-08,Verteilnetz,Limmatzone,Pelikanplatz,B0018,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Pelikanplatz,B0018,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Stampfenbachstr./Walchestr.,B0060,Temperatur,Allgemeine Parameter,°C,,10.5,
2023-05-08,Verteilnetz,Limmatzone,Stampfenbachstr./Walchestr.,B0060,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,9,300
2023-05-08,Verteilnetz,Limmatzone,Stampfenbachstr./Walchestr.,B0060,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Stampfenbachstr./Walchestr.,B0060,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Hangzone,im Mittelleimbach,B0117,Temperatur,Allgemeine Parameter,°C,,10.7,
2023-05-08,Verteilnetz,Hangzone,im Mittelleimbach,B0117,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,8,300
2023-05-08,Verteilnetz,Hangzone,im Mittelleimbach,B0117,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Hangzone,im Mittelleimbach,B0117,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Mythenquai/Bahnhof Wollishofen,B0145,Temperatur,Allgemeine Parameter,°C,,10.1,
2023-05-08,Verteilnetz,Limmatzone,Mythenquai/Bahnhof Wollishofen,B0145,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,8,300
2023-05-08,Verteilnetz,Limmatzone,Mythenquai/Bahnhof Wollishofen,B0145,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Mythenquai/Bahnhof Wollishofen,B0145,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Seestrasse Bahnunterführung Wollishofen,B0149,Temperatur,Allgemeine Parameter,°C,,9.4,
2023-05-08,Verteilnetz,Limmatzone,Seestrasse Bahnunterführung Wollishofen,B0149,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,10,300
2023-05-08,Verteilnetz,Limmatzone,Seestrasse Bahnunterführung Wollishofen,B0149,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Seestrasse Bahnunterführung Wollishofen,B0149,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Idaplatz,B0192,Temperatur,Allgemeine Parameter,°C,,12.1,
2023-05-08,Verteilnetz,Limmatzone,Idaplatz,B0192,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,8,300
2023-05-08,Verteilnetz,Limmatzone,Idaplatz,B0192,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Idaplatz,B0192,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Uetlibergstr. Haltestelle Binz,B0202,Temperatur,Allgemeine Parameter,°C,,10.5,
2023-05-08,Verteilnetz,Limmatzone,Uetlibergstr. Haltestelle Binz,B0202,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,11,300
2023-05-08,Verteilnetz,Limmatzone,Uetlibergstr. Haltestelle Binz,B0202,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Uetlibergstr. Haltestelle Binz,B0202,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Hangzone,Winterthurerstr./Langmauerstr.,B0290,Temperatur,Allgemeine Parameter,°C,,12.5,
2023-05-08,Verteilnetz,Hangzone,Winterthurerstr./Langmauerstr.,B0290,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,5,300
2023-05-08,Verteilnetz,Hangzone,Winterthurerstr./Langmauerstr.,B0290,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Hangzone,Winterthurerstr./Langmauerstr.,B0290,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Hangzone,Klusstr./Kluseggweg,B0339,Temperatur,Allgemeine Parameter,°C,,13.1,
2023-05-08,Verteilnetz,Hangzone,Klusstr./Kluseggweg,B0339,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,9,300
2023-05-08,Verteilnetz,Hangzone,Klusstr./Kluseggweg,B0339,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Hangzone,Klusstr./Kluseggweg,B0339,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Bergzone Orelli,Toblerplatz,B0341,Temperatur,Allgemeine Parameter,°C,,10.5,
2023-05-08,Verteilnetz,Bergzone Orelli,Toblerplatz,B0341,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,9,300
2023-05-08,Verteilnetz,Bergzone Orelli,Toblerplatz,B0341,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Bergzone Orelli,Toblerplatz,B0341,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Gipfelzone Looren,Zürichbergstr. Endstation Tram 5,B0344,Temperatur,Allgemeine Parameter,°C,,9.7,
2023-05-08,Verteilnetz,Gipfelzone Looren,Zürichbergstr. Endstation Tram 5,B0344,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,3,300
2023-05-08,Verteilnetz,Gipfelzone Looren,Zürichbergstr. Endstation Tram 5,B0344,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Gipfelzone Looren,Zürichbergstr. Endstation Tram 5,B0344,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Bergzone Witikon,Witikonerstr./Berghaldenstr.,B0362,Temperatur,Allgemeine Parameter,°C,,10.7,
2023-05-08,Verteilnetz,Bergzone Witikon,Witikonerstr./Berghaldenstr.,B0362,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,17,300
2023-05-08,Verteilnetz,Bergzone Witikon,Witikonerstr./Berghaldenstr.,B0362,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Bergzone Witikon,Witikonerstr./Berghaldenstr.,B0362,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Seefeldstr./Badstr.,B0406,Temperatur,Allgemeine Parameter,°C,,10.3,
2023-05-08,Verteilnetz,Limmatzone,Seefeldstr./Badstr.,B0406,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,8,300
2023-05-08,Verteilnetz,Limmatzone,Seefeldstr./Badstr.,B0406,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Seefeldstr./Badstr.,B0406,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Lindenplatz 6,B0413,Temperatur,Allgemeine Parameter,°C,,9.7,
2023-05-08,Verteilnetz,Limmatzone,Lindenplatz 6,B0413,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,5,300
2023-05-08,Verteilnetz,Limmatzone,Lindenplatz 6,B0413,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Lindenplatz 6,B0413,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Hönggerstr./Röschibachstr.,B0440,Temperatur,Allgemeine Parameter,°C,,11.5,
2023-05-08,Verteilnetz,Limmatzone,Hönggerstr./Röschibachstr.,B0440,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,2,300
2023-05-08,Verteilnetz,Limmatzone,Hönggerstr./Röschibachstr.,B0440,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Hönggerstr./Röschibachstr.,B0440,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Hangzone,Meierhofplatz,B0454,Temperatur,Allgemeine Parameter,°C,,12,
2023-05-08,Verteilnetz,Hangzone,Meierhofplatz,B0454,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,2,300
2023-05-08,Verteilnetz,Hangzone,Meierhofplatz,B0454,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Hangzone,Meierhofplatz,B0454,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Limmattalstr./Wartauweg,B0462,Temperatur,Allgemeine Parameter,°C,,10.1,
2023-05-08,Verteilnetz,Limmatzone,Limmattalstr./Wartauweg,B0462,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,3,300
2023-05-08,Verteilnetz,Limmatzone,Limmattalstr./Wartauweg,B0462,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Limmattalstr./Wartauweg,B0462,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Glattzone,Schaffhauserstr. Endstation Tram 14,B0487,Temperatur,Allgemeine Parameter,°C,,12.9,
2023-05-08,Verteilnetz,Glattzone,Schaffhauserstr. Endstation Tram 14,B0487,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,9,300
2023-05-08,Verteilnetz,Glattzone,Schaffhauserstr. Endstation Tram 14,B0487,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Glattzone,Schaffhauserstr. Endstation Tram 14,B0487,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Glattzone,Regensbergstr./Oberwiesen,B0489,Temperatur,Allgemeine Parameter,°C,,11.5,
2023-05-08,Verteilnetz,Glattzone,Regensbergstr./Oberwiesen,B0489,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,9,300
2023-05-08,Verteilnetz,Glattzone,Regensbergstr./Oberwiesen,B0489,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Glattzone,Regensbergstr./Oberwiesen,B0489,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Glattzone,Wehntalerstr./Furttalstr.,B0491,Temperatur,Allgemeine Parameter,°C,,13.2,
2023-05-08,Verteilnetz,Glattzone,Wehntalerstr./Furttalstr.,B0491,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,5,300
2023-05-08,Verteilnetz,Glattzone,Wehntalerstr./Furttalstr.,B0491,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Glattzone,Wehntalerstr./Furttalstr.,B0491,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Triemliplatz/Tramhaltestelle,B0506,Temperatur,Allgemeine Parameter,°C,,13.1,
2023-05-08,Verteilnetz,Limmatzone,Triemliplatz/Tramhaltestelle,B0506,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,2,300
2023-05-08,Verteilnetz,Limmatzone,Triemliplatz/Tramhaltestelle,B0506,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Triemliplatz/Tramhaltestelle,B0506,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Bergzone Friesenberg,Bachtobelstr./Panoramaweg,B0952,Temperatur,Allgemeine Parameter,°C,,11.6,
2023-05-08,Verteilnetz,Bergzone Friesenberg,Bachtobelstr./Panoramaweg,B0952,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,12,300
2023-05-08,Verteilnetz,Bergzone Friesenberg,Bachtobelstr./Panoramaweg,B0952,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Bergzone Friesenberg,Bachtobelstr./Panoramaweg,B0952,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Hangzone,vor Reservoir Frauental,B0997,Temperatur,Allgemeine Parameter,°C,,10.3,
2023-05-08,Verteilnetz,Hangzone,vor Reservoir Frauental,B0997,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,8,300
2023-05-08,Verteilnetz,Hangzone,vor Reservoir Frauental,B0997,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Hangzone,vor Reservoir Frauental,B0997,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Bergzone Waidberg,Wässerlingweg,B0998,Temperatur,Allgemeine Parameter,°C,,10.5,
2023-05-08,Verteilnetz,Bergzone Waidberg,Wässerlingweg,B0998,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,7,300
2023-05-08,Verteilnetz,Bergzone Waidberg,Wässerlingweg,B0998,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Bergzone Waidberg,Wässerlingweg,B0998,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Grundstrasse 20,B1159,Temperatur,Allgemeine Parameter,°C,,12.3,
2023-05-08,Verteilnetz,Limmatzone,Grundstrasse 20,B1159,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,6,300
2023-05-08,Verteilnetz,Limmatzone,Grundstrasse 20,B1159,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Grundstrasse 20,B1159,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Glattzone,Grosswiesenstr./Luchswiesenstr.,B1172,Temperatur,Allgemeine Parameter,°C,,12.7,
2023-05-08,Verteilnetz,Glattzone,Grosswiesenstr./Luchswiesenstr.,B1172,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,21,300
2023-05-08,Verteilnetz,Glattzone,Grosswiesenstr./Luchswiesenstr.,B1172,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Glattzone,Grosswiesenstr./Luchswiesenstr.,B1172,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Schacht Sonneggstr./Unterf. Haldenbach,NSTL/SONN,Temperatur,Allgemeine Parameter,°C,,8.9,
2023-05-08,Verteilnetz,Limmatzone,Schacht Sonneggstr./Unterf. Haldenbach,NSTL/SONN,AMK (aerobe mesophile Keime),Biologische Parameter,KbE/mL,1,14,300
2023-05-08,Verteilnetz,Limmatzone,Schacht Sonneggstr./Unterf. Haldenbach,NSTL/SONN,E. coli,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-08,Verteilnetz,Limmatzone,Schacht Sonneggstr./Unterf. Haldenbach,NSTL/SONN,Enterokokken,Biologische Parameter,KbE/100 mL,1,NA,0
2023-05-15,Verteilnetz,Limmatzone,Pelikanplatz,B0018,Temperatur,Allgemeine Parameter,°C,,10.5,
2023-05-15,Verteilnetz,Limmatzone,Pelikanplatz,B0018,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.2,
2023-05-15,Verteilnetz,Limmatzone,Pelikanplatz,B0018,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,78006,
2023-05-15,Verteilnetz,Limmatzone,Stampfenbachstr./Walchestr.,B0060,Temperatur,Allgemeine Parameter,°C,,9.6,
2023-05-15,Verteilnetz,Limmatzone,Stampfenbachstr./Walchestr.,B0060,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.1,
2023-05-15,Verteilnetz,Limmatzone,Stampfenbachstr./Walchestr.,B0060,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,78322,
2023-05-15,Verteilnetz,Hangzone,im Mittelleimbach,B0117,Temperatur,Allgemeine Parameter,°C,,11.6,
2023-05-15,Verteilnetz,Hangzone,im Mittelleimbach,B0117,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,4.5,
2023-05-15,Verteilnetz,Hangzone,im Mittelleimbach,B0117,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,116170,
2023-05-15,Verteilnetz,Limmatzone,Mythenquai/Bahnhof Wollishofen,B0145,Temperatur,Allgemeine Parameter,°C,,10.8,
2023-05-15,Verteilnetz,Limmatzone,Mythenquai/Bahnhof Wollishofen,B0145,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.9,
2023-05-15,Verteilnetz,Limmatzone,Mythenquai/Bahnhof Wollishofen,B0145,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,70050,
2023-05-15,Verteilnetz,Limmatzone,Seestrasse Bahnunterführung Wollishofen,B0149,Temperatur,Allgemeine Parameter,°C,,9.1,
2023-05-15,Verteilnetz,Limmatzone,Seestrasse Bahnunterführung Wollishofen,B0149,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.2,
2023-05-15,Verteilnetz,Limmatzone,Seestrasse Bahnunterführung Wollishofen,B0149,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,75150,
2023-05-15,Verteilnetz,Limmatzone,Idaplatz,B0192,Temperatur,Allgemeine Parameter,°C,,12.7,
2023-05-15,Verteilnetz,Limmatzone,Idaplatz,B0192,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.3,
2023-05-15,Verteilnetz,Limmatzone,Idaplatz,B0192,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,79300,
2023-05-15,Verteilnetz,Limmatzone,Uetlibergstr. Haltestelle Binz,B0202,Temperatur,Allgemeine Parameter,°C,,10.8,
2023-05-15,Verteilnetz,Limmatzone,Uetlibergstr. Haltestelle Binz,B0202,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.9,
2023-05-15,Verteilnetz,Limmatzone,Uetlibergstr. Haltestelle Binz,B0202,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,68211,
2023-05-15,Verteilnetz,Hangzone,Winterthurerstr./Langmauerstr.,B0290,Temperatur,Allgemeine Parameter,°C,,13.7,
2023-05-15,Verteilnetz,Hangzone,Winterthurerstr./Langmauerstr.,B0290,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.7,
2023-05-15,Verteilnetz,Hangzone,Winterthurerstr./Langmauerstr.,B0290,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,51550,
2023-05-15,Verteilnetz,Hangzone,Klusstr./Kluseggweg,B0339,Temperatur,Allgemeine Parameter,°C,,13.6,
2023-05-15,Verteilnetz,Hangzone,Klusstr./Kluseggweg,B0339,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.5,
2023-05-15,Verteilnetz,Hangzone,Klusstr./Kluseggweg,B0339,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,67872,
2023-05-15,Verteilnetz,Bergzone Orelli,Toblerplatz,B0341,Temperatur,Allgemeine Parameter,°C,,10.8,
2023-05-15,Verteilnetz,Bergzone Orelli,Toblerplatz,B0341,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.7,
2023-05-15,Verteilnetz,Bergzone Orelli,Toblerplatz,B0341,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,91683,
2023-05-15,Verteilnetz,Gipfelzone Looren,Zürichbergstr. Endstation Tram 5,B0344,Temperatur,Allgemeine Parameter,°C,,10,
2023-05-15,Verteilnetz,Gipfelzone Looren,Zürichbergstr. Endstation Tram 5,B0344,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.4,
2023-05-15,Verteilnetz,Gipfelzone Looren,Zürichbergstr. Endstation Tram 5,B0344,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,79739,
2023-05-15,Verteilnetz,Bergzone Witikon,Witikonerstr./Berghaldenstr.,B0362,Temperatur,Allgemeine Parameter,°C,,10.6,
2023-05-15,Verteilnetz,Bergzone Witikon,Witikonerstr./Berghaldenstr.,B0362,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.3,
2023-05-15,Verteilnetz,Bergzone Witikon,Witikonerstr./Berghaldenstr.,B0362,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,93328,
2023-05-15,Verteilnetz,Limmatzone,Seefeldstr./Badstr.,B0406,Temperatur,Allgemeine Parameter,°C,,10.3,
2023-05-15,Verteilnetz,Limmatzone,Seefeldstr./Badstr.,B0406,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.5,
2023-05-15,Verteilnetz,Limmatzone,Seefeldstr./Badstr.,B0406,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,75572,
2023-05-15,Verteilnetz,Limmatzone,Lindenplatz 6,B0413,Temperatur,Allgemeine Parameter,°C,,9.7,
2023-05-15,Verteilnetz,Limmatzone,Lindenplatz 6,B0413,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.5,
2023-05-15,Verteilnetz,Limmatzone,Lindenplatz 6,B0413,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,78172,
2023-05-15,Verteilnetz,Limmatzone,Hönggerstr./Röschibachstr.,B0440,Temperatur,Allgemeine Parameter,°C,,12.1,
2023-05-15,Verteilnetz,Limmatzone,Hönggerstr./Röschibachstr.,B0440,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2.7,
2023-05-15,Verteilnetz,Limmatzone,Hönggerstr./Röschibachstr.,B0440,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,79133,
2023-05-15,Verteilnetz,Hangzone,Meierhofplatz,B0454,Temperatur,Allgemeine Parameter,°C,,12,
2023-05-15,Verteilnetz,Hangzone,Meierhofplatz,B0454,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.4,
2023-05-15,Verteilnetz,Hangzone,Meierhofplatz,B0454,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,55733,
2023-05-15,Verteilnetz,Limmatzone,Limmattalstr./Wartauweg,B0462,Temperatur,Allgemeine Parameter,°C,,10.6,
2023-05-15,Verteilnetz,Limmatzone,Limmattalstr./Wartauweg,B0462,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.8,
2023-05-15,Verteilnetz,Limmatzone,Limmattalstr./Wartauweg,B0462,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,75039,
2023-05-15,Verteilnetz,Glattzone,Schaffhauserstr. Endstation Tram 14,B0487,Temperatur,Allgemeine Parameter,°C,,13.6,
2023-05-15,Verteilnetz,Glattzone,Schaffhauserstr. Endstation Tram 14,B0487,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.8,
2023-05-15,Verteilnetz,Glattzone,Schaffhauserstr. Endstation Tram 14,B0487,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,58394,
2023-05-15,Verteilnetz,Glattzone,Regensbergstr./Oberwiesen,B0489,Temperatur,Allgemeine Parameter,°C,,12.2,
2023-05-15,Verteilnetz,Glattzone,Regensbergstr./Oberwiesen,B0489,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.7,
2023-05-15,Verteilnetz,Glattzone,Regensbergstr./Oberwiesen,B0489,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,60922,
2023-05-15,Verteilnetz,Glattzone,Wehntalerstr./Furttalstr.,B0491,Temperatur,Allgemeine Parameter,°C,,13.9,
2023-05-15,Verteilnetz,Glattzone,Wehntalerstr./Furttalstr.,B0491,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,2,
2023-05-15,Verteilnetz,Glattzone,Wehntalerstr./Furttalstr.,B0491,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,60972,
2023-05-15,Verteilnetz,Limmatzone,Triemliplatz/Tramhaltestelle,B0506,Temperatur,Allgemeine Parameter,°C,,13.8,
2023-05-15,Verteilnetz,Limmatzone,Triemliplatz/Tramhaltestelle,B0506,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.1,
2023-05-15,Verteilnetz,Limmatzone,Triemliplatz/Tramhaltestelle,B0506,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,83817,
2023-05-15,Verteilnetz,Bergzone Friesenberg,Bachtobelstr./Panoramaweg,B0952,Temperatur,Allgemeine Parameter,°C,,12.1,
2023-05-15,Verteilnetz,Bergzone Friesenberg,Bachtobelstr./Panoramaweg,B0952,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.3,
2023-05-15,Verteilnetz,Bergzone Friesenberg,Bachtobelstr./Panoramaweg,B0952,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,92822,
2023-05-15,Verteilnetz,Hangzone,vor Reservoir Frauental,B0997,Temperatur,Allgemeine Parameter,°C,,10.9,
2023-05-15,Verteilnetz,Hangzone,vor Reservoir Frauental,B0997,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,3.4,
2023-05-15,Verteilnetz,Hangzone,vor Reservoir Frauental,B0997,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,88961,
2023-05-15,Verteilnetz,Bergzone Waidberg,Wässerlingweg,B0998,Temperatur,Allgemeine Parameter,°C,,10.9,
2023-05-15,Verteilnetz,Bergzone Waidberg,Wässerlingweg,B0998,"ATP intra (Adenosintriphosphat, intrazellulär)",Biologische Parameter,pg/mL,0.8,1.4,
2023-05-15,Verteilnetz,Bergzone Waidberg,Wässerlingweg,B0998,Intaktzellzahl,Biologische Parameter,Zellen/mL,500,50072,
2023-05-15,Verteilnetz,Limmatzone,Grundstrasse 20,B1159,Temperatur,Allgemeine Parameter,°C,,12.2,
